x, y, 
1.78, 3.70372, 
1.79867, 3.71709, 
1.81733, 3.73039, 
1.836, 3.74365, 
1.85467, 3.75691, 
1.87333, 3.77021, 
1.892, 3.7836, 
1.91067, 3.79711, 
1.92933, 3.8108, 
1.948, 3.8247, 
1.96667, 3.83886, 
1.98533, 3.85332, 
2.004, 3.86812, 
2.02267, 3.88331, 
2.04133, 3.89893, 
2.06, 3.91501, 
2.07867, 3.93161, 
2.09733, 3.94877, 
2.116, 3.96652, 
2.13467, 3.98492, 
2.15333, 4.004, 
2.172, 4.02381, 
2.19067, 4.04439, 
2.20933, 4.06578, 
2.228, 4.08803, 
2.24667, 4.11118, 
2.26533, 4.13526, 
2.284, 4.16033, 
2.30267, 4.18643, 
2.32133, 4.21359, 
2.34, 4.24187, 
2.35867, 4.2713, 
2.37733, 4.30193, 
2.396, 4.3338, 
2.41467, 4.36695, 
2.43333, 4.40135, 
2.452, 4.43695, 
2.47067, 4.47371, 
2.48933, 4.51159, 
2.508, 4.55052, 
2.52667, 4.59047, 
2.54533, 4.63138, 
2.564, 4.6732, 
2.58267, 4.7159, 
2.60133, 4.75942, 
2.62, 4.8037, 
2.63867, 4.84871, 
2.65733, 4.8944, 
2.676, 4.94071, 
2.69467, 4.98761, 
2.71333, 5.03503, 
2.732, 5.08293, 
2.75067, 5.13127, 
2.76933, 5.18, 
2.788, 5.22906, 
2.80667, 5.27841, 
2.82533, 5.32801, 
2.844, 5.37779, 
2.86267, 5.42773, 
2.88133, 5.47775, 
